asin,title,brand,price,related,imUrl,salesRank,categories,description,pic_downloaded,boots,sex,image_path
B00FHCH5UE,West Blvd Womens BOMBAY WORK Boots Ankle Lace Up Hiking Combat Military Army Flat Shoes,,,"{'also_bought': ['B00EPRAJ7S','B00FNHL8UQ','B00EJZUCQY','B00AEKWS9C','B00AEKWT8W','B00FRKU3P0','B00FAAJ5YW','B008MOQ2TO','B00EPQEAJ2','B00F4CEMV2','B008V1XK8O','B00EA0K8LC','B008RJNZJ4','B00AI7OYZ2','B007GB6WJY']'also_viewed': ['B00EPRAJ7S','B00FNHL8UQ','B00EJZUCQY','B00AEKWT8W','B00FRKU3P0','B00CKXIFMK','B00IAD6VPC','B00FFI4XYQ','B00GNR4E1A','B00EPQEAJ2','B00IAD700C','B00HJ0ZXJC','B008X2B17S','B00BH9R1WI','B00GNGK4GU','B00CPBRZXW','B00C9OFWX0','B00BFZQIE6','B00AEKWS9C','B00BXV9KJM','B005EEJTAO','B00E450EIA','B005DD2JIK','B00GJKTEBQ','B00EJZFFQ6','B009AS9P2W','B00IAD62ME','B00EP396JO','B009TJEZOU','B00FCRK86M','B004KKEAVG','B00F4CEMV2','B00AM481BO','B009B055PK','B0085IUTPA','B008X2CWLM','B00G564HVQ','B00GSXMY3O','B00GSNHBWI','B00IDG430Q','B00BETMQNU','B008VX290W','B00HJ0W81S','B00AQBQ8XG','B00G64UPZE','B008WMIF4G','B00CQ80NW4','B00ICSW7XA','B008WMMDGW','B00FP46YII','B00B323880','B00C2LUPVY','B00FRLOW1A','B00KFRMDFS','B008V1XH46','B004WMP7E6','B00DN6L6FG','B00FDNCSXG','B00FCRAEY8','B00JDOXVLY']'bought_together': ['B00EPRAJ7S','B00AEKWT8W','B00AEKWS9C','B00EJZUCQY']}",http://ecx.images-amazon.com/images/I/51CLhXsGYOL._SY395_.jpg,{'Shoes': 24802},,,True,True,women,pics_boots/B00FHCH5UE.jpg
B00F2E81IW,Womens Ankle Boots Suede Gold Buckle Peep Toe High Heel Shoes,,37.95,"{'also_viewed': ['B00F2E6D7I','B00J96JZIE','B00F2EF0EU','B00F2EALYE','B00F2EG1UW','B00AFCJRVQ','B00G80LU4G','B00F2ECVCO','B00F2E9BDQ','B00J96K04W','B00GSK0CDQ','B00JVLRRM8','B00HUHFX7G','B00H9FJSB6','B00J2QVJR6','B00HLQIK80','B009SAGMZA','B00HU2UJFW','B00DOQH9YW','B00GUG12WI','B00D5CKQIG','B00B2FNYO6','B00FEQO5TW','B002HNJLV2','B00J96KEKC','B00J2QW4XY','B00GG3Q6K8','B00FEANVXO','B00HPZTS7Y','B00JNH2J0U','B00IBCHTOO','B00CROER1U','B00GBPN9PG','B00KCIMGQQ','B00JL48BNY','B00KZFVYV4','B00HHOA6ZQ','B00KHJGH8S','B00JSJQ8QE','B00CK2GG2W','B00CE2O9H2','B00F9FPAV0','B00H7AU35S','B0090BM7C4','B00BFFOZU0','B00HWP7J5K','B00J2QWJGQ','B00K2XO1BE','B00GNPXM6U','B00FEANMII','B00HHZZDNA','B00HSXQQ8W','B00KRQ4JAE','B00F2QT18E','B00FRKTKEA','B00JTMGZT0','B00GQYG6UC','B00JVLST66']}",http://ecx.images-amazon.com/images/I/41zw2q2WYnL._SY395_.jpg,{'Shoes': 207391},,,True,True,women,pics_boots/B00F2E81IW.jpg
B007MJAKQG,"""Fly London Women's Yama Platforms P500326004 Suede Boots""",,179.95,"{'also_bought': ['B009GF3Y6W']'also_viewed': ['B007MJA15Q','B00GTM0GR0','B00GTM99FA','B00EKHLFPS','B00JJKL4IE','B00FJWR40S','B00GTMAMWE','B00GNJP09S','B00GTM2TIE','B00FJWR3QS','B00FJWR3YU','B00CO3FP6U','B00GTM6VZQ','B001M4JK2W','B00FOS4TBY','B00CO3FT0M','B00DSY3VH4','B00CP2T97Q','B00CP2T99E','B00DSYEB6Y','B00FOS4UPO','B00CP2T7UA','B008YEULX0','B007OA6S7I','B00CM4EXCS','B001JAHX7I','B002PEWC0K','B00J4QW4SM','B00CM4F0LQ','B00FJ5NH9W','B00IARUOEW','B003KRQF9K','B00G91MKV6','B00BFDCNUQ','B00GNJUVHY','B0025KVSXG','B00CM4ETWW','B007MJA1OM','B00CP2T97G','B007MJA1KQ','B00EYT6UO8','B007MJA28W','B009GF3Y6W','B00IARU0R8','B00AFBTN66','B00IARVUL8','B00CM4F0HU','B00FJ5NHB0','B00CM4EXAU','B00CM4EMFQ','B00FJ5NGKM','B001AE9ACO','B00DSYEBBY']}",http://ecx.images-amazon.com/images/I/414ghjQ5Y3L._SX395_.jpg,{'Shoes': 234670},,,True,True,women,pics_boots/B007MJAKQG.jpg
B00D3A75RA,West Blvd Womens Sneaker Knee High Lace Up Boots,,,"{'also_bought': ['B00DUGW31K','B00C7JB790','B003LY5T9O','B00DSXB8GG','B003JUMEFW','B00JROS3LI','B003B4UI8G','B00FEJDYV4','B00AOCX3TE','B003EHWMAC','B00IMKAG2C','B00HQL9FQG','B00GKEJGE6','B00GYLW5S4','B00D9QGWM2','B00JGT13EI','B00EFT9C56','B00BOED59Y','B00GU0M84A','B00EJKD22K','B00DB8DXJ8','B00E5NC0IS','B00E95996I','B00G5PA5LS','B00DQX65PW','B00EPRATAK','B009P2LFT4','B006VRZBZU','B00FI6CJWS','B00G24X9N8','B004RWRCEO','B0052N3EE4','B00GWTPH7O','B00BGI8P9I','B00GAVOE1O','B00DB8E55E','B004RWTWPQ','B00C18LNE6','B007RKIZLW','B007RKJ0OI','B00GNCVAB2','B00HHAPC18','B00EPRB3UU','B00L3EFQ4C','B00FRRBCTO','B00DR8WU0K','B002Q6CN7E','B0094G8RKQ','B00DSVBR7S','B006KH0ODK','B00I0I2IXQ','B0092KLNMI','B000H6W2GW','B00G6UPWDS','B004Z1CZDK','B005C4Y57S','B00DDMYJ04','B000H6QQJ6','B005F50FXC','B00ELZQMGQ','B007EDE5Y8','B00CJJ6AZ4','B007JEHD5A','B00FS0VC6I','B00IM6XSWG','B00H8XNYS2','B0097B0KBM','B000RUJJAU','B00AM481BO','B00L4R1M8C','B00GAUXP8I','B009Q2EQQC','B006NPRMU2','B00EJ3BW8I','B00GGR99BM','B00BK4NEDK','B00HHFBP2S','B008RUOCJU','B00L66OW6K','B008NCYALM','B00FVTPQOA','B00DY29R64','B00006XXGO','B00LUFDCW2','B00CRDLXOK','B00KC0IRLC','B00HUOET0G','B00AWL424W','B00C11AM2C','B008RLT3PM','B00BBQCWY4','B00DW4NC2E','B00ESYAWW0','B00EV23OB0']'also_viewed': ['B00C7JB790','B00DSXB8GG','B003B4UI8G','B00FEJDYV4','B00JGT13EI','B00EJKD22K','B00B5BE1XU','B00DUGW31K','B00JROS3LI','B00KLMR1FE','B00JQVTUVE','B00EVAZFBE','B0086SX5U0','B00DF5AT44','B002WWTAKK','B00FEJGK9W','B00JVK7SAK','B003M0NVJ2','B006GJ8QFA','B00DSX0FZG','B00CLRBMC0','B00DF3OJ2E','B003LY5T9O','B00EUHOLUE','B00BY9YUIE','B00JKQM74W','B008DCUUSY','B00A8PLUEC','B003M0NVQ0','B0064W7A60','B00I55UKSE','B00B1AADUA','B00756AN3Q','B00G5LCCEU','B008LUI7II','B00KR9GNI2','B00KJIEOEG','B00E63JWD8','B00E4T0MC4','B00B5OC7Z6','B00K357OYC','B00GYLW5S4','B00I0LGLGS','B006GJ8J0M','B00KLNCVS0','B00EZPH8AQ','B00KQ5T9RY','B00D9QGWM2','B00G4EZ5Y2','B00DF0H1QS','B00KQNM4F0','B0091GQ0SK','B003JUMEFW','B00FFI5FFC','B00KLK31QY','B00JB8XW3E','B008M2QJCQ']'bought_together': ['B00DUGW31K','B00C7JB790','B003LY5T9O','B003JUMEFW']}",http://ecx.images-amazon.com/images/I/417ldcHHLML._SY395_.jpg,{'Shoes': 726},,,True,True,women,pics_boots/B00D3A75RA.jpg
B009AED6AI,"""Chloe Boutin Women's Over-the-knee Boots (EMMA-06)""",,45.99,"{'also_bought': ['B0083YI8A4','B0090S9GOY','B0097B0KBM','B009MBAK30','B008DSL17W','B008M2T7P2','B008V20VCQ']'also_viewed': ['B00EB5Q7RK','B009GSOR7O','B00G6UPWDS','B005FCTAS6','B00FIY1WOG','B00FA52QL6','B0095R8R4A','B003IT0AZA','B0090S9GOY','B009VK24XQ','B0097B0KBM','B00DZHZTLA','B00IQ2K0TA','B008V20VCQ','B00ICU9M68','B005ZLNNU8','B005KE1ZYG','B009DI2MDS','B00GNCVAB2','B003FGW2K2','B009TBFWWM','B00GNKKDYO','B00GAP3KBK','B00AER2L0Q','B008Y1XZX6','B00EKBRL7A','B00M0NPPQY','B00GTZI6I8']'bought_together': ['B0083YI8A4','B0090S9GOY','B009MBAK30']}",http://ecx.images-amazon.com/images/I/31iijb%2BAjbL._SY395_.jpg,{'Shoes': 108685},,,True,True,women,pics_boots/B009AED6AI.jpg
B001FRA49Y,FRANCO SARTO Heights Boots Shoes Brown Womens SZ,,95.99,"{'also_viewed': ['B00CALP110','B00DVIC1KU','B003JZAWFQ','B00G61AHS2','B005MMBDP2','B0055J3QDY','B004T0BRFO','B003I4ESU8','B001W6QG8G','B00BXFOLM4','B005DPJSCI','B004W1BHEQ','B007KHC7MA','B005EX2D1C','B000GAUQ5I','B004T0YIX2','B00D4MPVMS','B00BXF5CAO','B007Z0EG2Q','B009TE2OP2']}",http://ecx.images-amazon.com/images/I/414tjfXz3IL._SX342_.jpg,{'Clothing': 1019902},,,True,True,women,pics_boots/B001FRA49Y.jpg
B003WL6YO0,Glaze by Adi Womens Zipper Back Tall Boots,,42.99,"{'also_bought': ['B005PF76F2','B00EZ88OU6','B00EZ8EES2','B005PPANSE','B00CF5C6HI','B005OL9FQK']'also_viewed': ['B005PF76F2','B00EZ8EES2','B00EZ88OU6','B0092T9TI4','B00CF5C6HI','B005PPANSE','B00EZ8COLG','B00AVPH7RI','B008G1G71G','B009DPA7NI','B00FPBY1LS','B00B9A2BAM','B00BXV9KXS','B00AVPHH4Q','B00HS0IYZ8','B00BXYKDWC','B005P4T8RM','B005OL9FQK','B00A6Y1TWS','B005PXVVW8','B00EZ8GA5C','B00EPRATAK','B005JE8L4O','B00BETMSMY','B00AWL7CNK','B009SNXFJ8','B00BRGPZMO','B00EOSNYZ2','B00BETMSC4','B00EZ8CVJQ','B005P3OH0G','B0097D0ICG','B004V3BI9Y','B00B9A2B7A','B00GSX1GE2','B00A02V2ZK','B00EZ8E9M8','B00B9A4UBK','B004V3C8YI','B0073RLB6U','B00HQ5EG4I','B00B9A2AQM','B00GSX1G6A','B00B09I6D8','B00AEKWSGK','B007JFZMOI','B00EZ8AO90','B00DCSGZJC','B004V3C8Z2','B00HQ5E6Z2','B007P9YY06','B00HA8IO3K','B006T9U53S','B001B5KLAW','B0091L0DHO','B005VRQZZ6','B00BY1GWWE','B00GNKKDYO','B005QBMRUY','B005P5L4UU']'bought_together': ['B005PF76F2','B00EZ88OU6','B005PPANSE','B008G1G71G']}",http://ecx.images-amazon.com/images/I/31kvmsk6prL._SY395_.jpg,{'Shoes': 72994},,,True,True,women,pics_boots/B003WL6YO0.jpg
B00D8VL6Y2,"""Nocona Boots Women's Competitor Fashion Boot""",,,"{'also_viewed': ['B008KCTHZE','B002C4KFMU','B005OO25F0','B008YTZCBQ','B008YTZCE8','B0088WANEK','B009ZPJ0H0','B0078IUBSS','B0088WAO30','B003B3P0TO','B00JE8WBYW','B008J13F3Q','B0077QNAUW','B0051RUD5E','B002T1G5AM','B00D10KEFM','B003N7MY7O','B00CN6DH2W','B007YZBRHO','B0044QZEE8','B001ASCRB6','B00EAI4BU8','B00EAI4AF4','B008HFDKSE','B003HC9DME','B0044QYFM0','B0039YOYJC','B009T3GNSC','B00BQVTPLM','B001HN6SCS','B009750CHK','B00GB6TKSK','B00D7K6PMW','B00CAE7F70','B009ZPIYXG','B005CN87PU','B00451XJB2','B00ID7BFEM','B00418BEL6','B00C66KZ10','B009R5WWXW','B005I3VZ3K','B00991VZJ6','B0058W1GZI','B00IS7PGH4','B009A9Q3QC','B005PP7BMA','B0051SDRQ0','B001VNBQV2','B002T1G5DY','B00971JPKO','B009C7TWQU','B00EOHVB9E','B003B3OWDY','B005UVQIKK','B009ZPIYU4','B005GJFL9A','B00JZI7ZPQ']}",http://ecx.images-amazon.com/images/I/41yZx2J%2BWXL._SY395_.jpg,{'Shoes': 49717},,,True,True,women,pics_boots/B00D8VL6Y2.jpg
B00G9A4WQI,My1stWish Womens 5H Faux Leather Ladies Winter Grip Sole Buckle Long Boots Shoes,,24.95,"{'also_bought': ['B00FQGXPWS','B00HFA215U','B00GYS1F56']'also_viewed': ['B00G468ES4','B00HFA215U','B00G9D179U','B00989Z6IA','B00FQGXPWS','B0064LRHFU','B00GZW4ZWG','B005P4T8RM','B00E450EIA','B00C65YIN2','B005QLDG86','B0064LR1PQ','B00GAP3KBK','B00GN5K09C','B005EI9OTG','B00FCUWZHE','B00EPRATAK','B0096UL4QY','B00FN9LXHW','B00DR4LUQY','B005OL9FQK','B00FSVLR12','B0026SFXME','B007MLG66W','B009SNXFJ8','B009N7U740','B00E97K8UW','B00EU3BAS4','B00HQCT0KG','B00G64UPZE','B00FB6FOB8','B009L94IY0','B00AM481BO','B002Z7FEMU','B0065VIRFS','B00IDG430Q','B00EZ8A38M','B00C8UM3T6','B00FBEP6WM','B005PSYUJO','B009GKVN88','B005P4T4WG','B00FCVZ81I','B000H0VE3K','B00FQGZ1QQ','B00BETMSG0','B00AEKWSZ6','B00F4CEMV2','B00GR974HU','B00E7Y3SWM','B00919FZWY','B007RFF2LS','B005P3OST6','B005X72DZ0','B009B055PK','B00I0Z8WHA','B005PDABAG','B00FA2HCF4','B005QBN0R8','B00G6ORJ94']'bought_together': ['B00FQGXPWS']}",http://ecx.images-amazon.com/images/I/41w-ooZClYL._SY395_.jpg,{'Shoes': 52337},,,True,True,women,pics_boots/B00G9A4WQI.jpg
B00D3NFTIY,"""Women's Dark Brown Lace-up Combat Folded Cuff Riding Mid-Calf Boots Soda Oralee 8""",,28.9,"{'also_viewed': ['B00CQ80NW4','B00F4CEMV2','B00I0Z8WHA','B00D3NFZTW','B00D9FXTYC','B00EJZUCQY','B00B323880','B005XLQZM8','B00DI3OO5S','B009ZXKC7O','B00AM481BO','B00G64UPZE']}",http://ecx.images-amazon.com/images/I/41v7NpQsINL._SY395_.jpg,,,,True,True,women,pics_boots/B00D3NFTIY.jpg
B00EWHYGMK,El Naturalista 873 Yarn Solar Black Womens Boots,,,"{'also_viewed': ['B00C3752BU','B007NFL8NI','B004R25VBK','B007NFYCTA','B00C2JM9AG','B009GCWKYC','B004R25VGU','B00BRGSA8U','B007NG6QMU','B00IOG1KKG','B007NDL1XC','B00JEG2H02','B004R25V6K','B00IOFZSDW','B00974QOJQ','B007NDL1WS','B000YUME4Q','B009GCWKX8','B00IOG13GW','B009GCWL2S','B007NG6PYE','B00974QN0Q','B007NFL8UQ','B004R27YUQ','B00IAIW2QO','B007NG6QQ6','B007NG7TSU','B00974QOA0','B00IAJ2934','B007NG6QP2','B00BRBJ1V0','B004R27YTC','B00IOFZTZO','B00974QO5U','B007NFYCEU','B00BRBJ1W4','B007NDL2R2','B00974QN0G','B007NDL1WI','B004R2B7J0','B002UKPFZI','B007NG7TSK','B00BRGSA7Q','B005ONRD2G','B007NDL2PO','B00BRBJ3J0','B009GCWL14','B000WJFYEQ','B001B37PO4']}",http://ecx.images-amazon.com/images/I/41NfiBLFfsL._SY395_.jpg,{'Shoes': 370992},,,True,True,women,pics_boots/B00EWHYGMK.jpg
